block_seq_num,block_var_num,block_route_num,block_run_num
4845480,1,930,1
4845481,1,930,2
4845482,1,930,3
4845483,1,917,1
4845484,1,914,1
4845485,1,914,2
4845486,1,914,3
4845487,1,910,1
4845488,1,908,1
4845489,1,913,1
4845490,1,913,3
4845491,1,913,4
4845492,1,931,2
4845493,1,931,3
4845494,1,931,4
4845495,1,931,7
4845496,1,931,8
4845497,1,931,1
4845498,1,975,1
4845499,1,975,2
4845500,1,906,1
4845501,1,906,2
4845502,1,629,2
4845503,1,629,1
4845504,1,931,6
4845505,1,931,5
4845506,1,628,1
4845507,1,628,2
4845508,1,628,4
4845509,1,628,5
4845510,1,628,6
4845511,1,630,2
4845512,1,630,3
4845513,1,630,4
4845514,1,630,5
4845515,1,630,6
4845516,1,630,1
4845517,1,631,1
4845518,1,901,1
4845519,1,903,1
4845520,1,903,2
4845521,1,903,3
4845522,1,903,4
4845523,1,903,5
4845524,1,903,6
4845525,1,903,7
4845526,1,903,8
4845527,1,903,9
4845528,1,628,3
4845529,1,915,1
4845530,1,915,2
4845531,1,632,1
4845532,1,973,1
4845533,1,907,1
4845534,1,907,2
4845536,1,913,2
4845537,1,773,1
4845538,1,775,1
4845539,1,930,4
4845540,1,930,5
4845541,1,930,6
4845542,1,635,1
4845543,1,635,2
4845544,1,635,3
4845545,1,635,4
4845546,1,773,2
4845547,1,775,2
4845548,2,973,2
4865418,1,903,1
4865419,1,903,2
4865420,1,773,2
4865421,1,973,1
4865422,1,773,1
4908722,1,914,2
4908723,1,914,1
4908724,1,914,3
4908725,1,917,1
4908726,1,910,1
4908727,1,908,1
4908728,1,915,1
4908729,1,906,1
4908730,1,906,2
4908731,1,903,2
4908732,1,903,1
4908733,1,773,2
4908734,1,973,1
4908735,1,773,1
4917142,1,599,41
4917143,1,599,1
4917144,1,599,6
4917145,1,599,7
4917146,1,599,42
4917147,1,599,9
4917148,1,599,4
4917149,1,599,10
4917150,1,599,44
4917151,1,599,45
4917152,1,599,8
4917153,1,599,46
4917154,1,599,3
4917155,1,599,11
4917156,1,599,12
4917157,1,599,47
4917158,1,599,51
4917159,1,599,54
4917160,1,599,52
4917161,1,599,55
4917162,1,599,56
4917163,1,599,53
4917164,1,599,57
4917165,1,599,2
4917166,1,599,43
4917167,1,599,5
4917168,1,599,1
4917169,1,599,2
4917170,1,599,8
4917171,1,599,4
4917172,1,599,9
4917173,1,599,5
4917174,1,599,10
4917175,1,599,12
4917176,1,599,3
