service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100579,0,1,0,0,0,0,0,20180416,20180921
101544,0,1,0,1,0,0,0,20180416,20180921
102375,0,1,0,0,0,0,0,20180416,20180921
103237,0,1,0,1,0,0,0,20180413,20180921
104483,0,1,0,1,1,0,0,20180416,20180921
104560,0,1,0,1,1,0,0,20180413,20180921
11585,0,0,0,0,0,0,1,20180415,20180610
14016,0,0,0,0,0,0,0,20180415,20180903
14599,0,0,0,0,0,1,0,20180616,20180915
16736,0,0,0,0,0,0,1,20180617,20180916
17576,0,0,0,0,1,0,0,20180427,20180615
23110,0,0,0,0,0,1,0,20180414,20180915
2431,0,0,0,0,0,0,0,20180812,20180903
28321,0,0,0,0,0,0,1,20180415,20180916
30857,0,0,0,0,0,0,0,20180413,20180921
34907,0,1,1,1,1,0,0,20180417,20180608
35200,0,1,1,1,1,0,0,20180413,20180608
36248,0,1,1,1,1,0,0,20180423,20180615
36661,0,0,0,0,0,0,0,20180618,20180920
40642,0,1,1,1,1,0,0,20180413,20180615
63918,0,1,0,1,1,0,0,20180618,20180921
68312,0,0,0,0,0,0,0,20180413,20180921
8511,0,0,0,0,0,1,0,20180414,20180609
9110,0,0,1,0,0,0,0,20180418,20180613
92434,0,1,0,1,0,0,0,20180416,20180921
94127,0,1,0,1,0,0,0,20180413,20180921
94837,0,1,0,1,0,0,0,20180416,20180921
95373,0,1,0,1,1,0,0,20180416,20180921
9723,0,0,0,0,1,0,0,20180413,20180615
98825,0,0,0,0,0,0,0,20180417,20180921
